Name_in_Database,Source,SubGroup,Color,Abbreviation,Name,Latitude,Longitude,Abbreviation,Native_Name,ISO6393,Glottolog
Norwegian_1893,Svendsen1893,Austrian,9900,NTS_1893,Norwegian Sign Language,59.911491,10.757933,NTS,Norsk tegnspråk,nsl,norw1261
Norwegian_1900,Bruun1900,Austrian,9900,NTS_1900,Norwegian Sign Language,63.446827,10.421906,NTS,Norsk tegnspråk,nsl,norw1261
Norwegian_1955,Nts1955,Austrian,9900,NTS_1955,Norwegian Sign Language,63.446827,10.421906,NTS,Norsk tegnspråk,nsl,norw1261
Norwegian_SL,Tegnordbok2016,Norwegian,0,NTS,Norwegian Sign Language,60.77,10.24,NTS,Norsk tegnspråk,nsl,norw1261
Pakistan_SL,SabirKhan_etal2014,French,00cccc,PSL,Pakistan Sign Language,28.07,67.88,PSL,پاکستانی اشارتی زبان,pks,paki1242
Polish_1879,Hollaka1879,Austrian,9900,PJM_1879,Polish Sign Language,52.237049,21.017532,PJM,Polski Język Migowy,pso,poli1259
Polish_SL,Lacheta_etal2016,Polish,ff9900,PJM,Polish Sign Language,52,20.76,PJM,Polski Język Migowy,pso,poli1259
Portuguese_SL,Lydell2018,Swedish,0099ff,LGP,Portuguese Sign Language,38.55,-8.53,LGP,Língua gestual portuguesa,psr,port1277
Quebec_SL,Quebec2019,French,00cccc,LSQ,Quebec Sign Language,46,-74.87,LSQ,Langue des signes québécoise,fcs,queb1245
Russian_1835,Fleri1835,Russian,ff0000,РЖЯ_1835,Russian Sign Language,59.93863,30.31413,RZhIa,Русский Жестовый Язык,rsl,russ1255
Russian_SL,Lydell2018,Russian,ff0000,РЖЯ,Russian Sign Language,56,44,RZhIa,Русский Жестовый Язык,rsl,russ1255
Spanish_1815,Marti1815,Spanish,ff00ff,LSE_1815,Spanish Sign Language,40.416775,-3.70379,LSE,Lengua de Signos Española,ssp,span1263
Spanish_1845,Ballesteros1845,Spanish,ff00ff,LSE_1845,Spanish Sign Language,40.416775,-3.70379,LSE,Lengua de Signos Española,ssp,span1263
Spanish_1859,Carderera1859,Spanish,ff00ff,LSE_1859,Spanish Sign Language,40.416775,-3.70379,LSE,Lengua de Signos Española,ssp,span1263
Spanish_SL,Blanco2009,Spanish,ff00ff,LSE,Spanish Sign Language,40.0314,-3.70738,LSE,Lengua de Signos Española,ssp,span1263
Swedish_1866,Paulsson1866,Swedish,0099ff,STS_1866,Swedish Sign Language,59.334591,18.06324,STS,Svenskt teckenspråk,swl,swed1236
Swedish_SL,Svenskt2014,Swedish,0099ff,STS,Swedish Sign Language,58.93,16.11,STS,Svenskt teckenspråk,swl,swed1236
Turkish_SL,Zeshan2003,British,0000ff,TİD,Turkish Sign Language,41.03,28.86,TID,Türk İşaret Dili,tsm,turk1288
Ukrainian_SL,Lydell2018,Russian,ff0000,УЖМ,Ukrainian Sign Language,50.41,30.55,UZhIa/UzhM,Українська жестова мова,ukl,ukra1235
Yebra_1593,DeYebra1593,Spanish,ff00ff,Y_1593,Yebra 1593,40.416775,-3.70379,Y1593,,,
